"Book,Author:",Trigger Warning: Short Fictions and Disturbances(Neil Gaiman)
"Book,Author:","You Are Not So Smart: Why You Have Too Many Friends on Facebook, Why Your Memory Is Mostly Fiction, and 46 Other Ways You're Deluding Yourself(David McRaney)"
"Book,Author:",Smoke and Mirrors: Short Fiction and Illusions(Neil Gaiman)
"Book,Author:",Fragile Things: Short Fictions and Wonders(Neil Gaiman)
"Book,Author:",Collected Fictions(Jorge Luis Borges)
"Book,Author:",The Letter: The most heartwrenching love story and World War Two historical fiction for summer reading(Kathryn Hughes)
"Book,Author:",True Fiction (Ian Ludlow Thrillers #1)(Lee Goldberg)
"Book,Author:",Better Than Fiction(Alexa  Martin)
"Book,Author:",The Red Badge of Courage and Selected Short Fiction(Stephen Crane)
"Book,Author:",Non-Fiction(Chuck Palahniuk)
"Book,Author:",Heart of Darkness and Selected Short Fiction(Joseph Conrad)
"Book,Author:",Paperbacks from Hell: The Twisted History of '70s and '80s Horror Fiction(Grady Hendrix)
"Book,Author:",The Complete Fiction(H.P. Lovecraft)
"Book,Author:",The King in Yellow and Other Horror Stories(Robert W. Chambers)
"Book,Author:",Ethan Frome and Other Short Fiction(Edith Wharton)
"Book,Author:",Octavia's Brood: Science Fiction Stories from Social Justice Movements(Adrienne Maree Brown)
"Book,Author:",Self-Editing for Fiction Writers: How to Edit Yourself Into Print(Renni Browne)
"Book,Author:",The Neil Gaiman Reader: Selected Fiction(Neil Gaiman)
"Book,Author:",The Art of Fiction: Notes on Craft for Young Writers(John Gardner)
"Book,Author:","The Science Fiction Hall of Fame, Volume One, 1929-1964(Robert Silverberg)"
"Book,Author:","Monster, She Wrote: The Women Who Pioneered Horror and Speculative Fiction(Lisa Kr”ger)"
"Book,Author:",Invisible Planets: Contemporary Chinese Science Fiction in Translation(Ken Liu)
"Book,Author:",How Fiction Works(James  Wood)
"Book,Author:",Wonderbook: The Illustrated Guide to Creating Imaginative Fiction(Jeff VanderMeer)
"Book,Author:",Look at the Birdie: Unpublished Short Fiction(Kurt Vonnegut Jr.)
"Book,Author:",The Fiction Between Us(Julie Olivia)
"Book,Author:",A People's Future of the United States: Speculative Fiction from 25 Extraordinary Writers(Victor LaValle)
"Book,Author:",Craft in the Real World: Rethinking Fiction Writing and Workshopping(Matthew Salesses)
"Book,Author:",While Mortals Sleep: Unpublished Short Fiction(Kurt Vonnegut Jr.)
"Book,Author:",The Point of Light (Historical Fiction #1)(John Ellsworth)
"Book,Author:",Seven Stones to Stand or Fall: A Collection of Outlander Fiction(Diana Gabaldon)
"Book,Author:",Paperback Crush: The Totally Radical History of '80s and '90s Teen Fiction(Gabrielle Moss)
"Book,Author:",The art of fiction(Walter Besant)
"Book,Author:",A Blink of the Screen: Collected Shorter Fiction(Terry Pratchett)
"Book,Author:",Dark Matter: A Century of Speculative Fiction from the African Diaspora(Sheree Ren‚e Thomas)
"Book,Author:",Fan Fiction(Brent Spiner)
"Book,Author:",Fools Crow(James Welch)
"Book,Author:",A Different Pond (Fiction Picture Books)(Bao Phi)
"Book,Author:",A Slip of the Keyboard: Collected Non-Fiction(Terry Pratchett)
"Book,Author:",My Pen is the Wing of a Bird: New Fiction by Afghan Women(Lyse Doucet)
"Book,Author:",Writing the Breakout Novel: Insider Advice for Taking Your Fiction to the Next Level(Donald Maass)
"Book,Author:",How to Write Science Fiction & Fantasy(Orson Scott Card)
"Book,Author:",Winter in the Blood (Contemporary American Fiction Series)(James Welch)
"Book,Author:",Pulp Fiction: A Quentin Tarantino Screenplay(Quentin Tarantino)
"Book,Author:",Broken Stars: Contemporary Chinese Science Fiction in Translation(Ken Liu)
"Book,Author:",Elements of Fiction Writing - Characters & Viewpoint(Orson Scott Card)
"Book,Author:",Best Ghost Stories of Algernon Blackwood(Algernon Blackwood)
"Book,Author:",Water Music (Penguin Contemporary American Fiction Series)(T. Coraghessan Boyle)
"Book,Author:",Africa Risen: A New Era of Speculative Fiction(Sheree Ren‚e Thomas)
"Book,Author:","The Huguenot Chronicles: Books 1 - 3 (includes: Merchants of Virtue, Voyage of Malice, Land of Hope): A historical fiction trilogy(Paul C.R. Monk)"
"Book,Author:",Chasing Shadows: A World War 2 (WW2) Historical Christian Fiction Romance Novel Set in the Netherlands(Lynn Austin)
"Book,Author:",Mapping the World of Harry Potter: Science Fiction and Fantasy Writers Explore the Bestselling Series of All Time(Mercedes Lackey)
"Book,Author:",Love After the End: An Anthology of Two-Spirit and Indigiqueer Speculative Fiction(Joshua Whitehead)
"Book,Author:",Morality Play(Barry Unsworth)
"Book,Author:",Fat City(Leonard Gardner)
"Book,Author:","Fact v. Fiction  (Ex Machina, #3)(Brian K. Vaughan)"
"Book,Author:",Firebirds: An Anthology of Original Fantasy and Science Fiction(Sharyn November)
"Book,Author:",The Complete Harvard Classics - ALL 71 Volumes: The Five Foot Shelf & The Shelf of Fiction: The Famous Anthology of the Greatest Works of World Literature(Charles William Eliot)
"Book,Author:",Writing Fiction: A Guide to Narrative Craft(Janet Burroway)
"Book,Author:",The Emotional Craft of Fiction: How to Write the Story Beneath the Surface(Donald Maass)
"Book,Author:",The Mad Scientist's Guide to World Domination: Original Short Fiction for the Modern Evil Genius(John Joseph Adams)
"Book,Author:","The Science Fiction Hall of Fame: Volume II A (The Science Fiction Hall of Fame, #2A)(Ben Bova)"
"Book,Author:",Firebirds Rising: An Anthology of Original Science Fiction and Fantasy(Sharyn November)
"Book,Author:",The Almost Legendary Morris Sisters: A True Story of Family Fiction(Julie Klam)
"Book,Author:",Selected Non-Fictions(Jorge Luis Borges)
"Book,Author:","A Convenient Fiction (Parish Orphans of Devon, #3)(Mimi Matthews)"
"Book,Author:",New Suns: Original Speculative Fiction by People of Color(Nisi Shawl)
"Book,Author:","The Sons of Encouragement: Biblical Stories of Aaron, Caleb, Jonathan, Amos, and Silas(Francine Rivers)"
"Book,Author:",Where the God of Love Hangs Out: Fiction(Amy Bloom)
"Book,Author:","Beginnings, Middles & Ends(Nancy Kress)"
"Book,Author:","Science Fictions: The Epidemic of Fraud, Bias, Negligence and Hype in Science(Stuart Ritchie)"
"Book,Author:",Gold: The Final Science Fiction Collection(Isaac Asimov)
"Book,Author:",Tomorrowland: Our Staggering Journey from Science Fiction to Science Fact(Steven Kotler)
"Book,Author:","The Fire in Fiction: Passion, Purpose and Techniques to Make Your Novel Great(Donald Maass)"
"Book,Author:",Maps in a Mirror: The Short Fiction of Orson Scott Card(Orson Scott Card)
"Book,Author:","The Art of War for Writers: Fiction Writing Strategies, Tactics, and Exercises(James Scott Bell)"
"Book,Author:",The Turn of the Screw and Other Short Fiction(Henry James)
"Book,Author:",The Art of Fiction: Illustrated from Classic and Modern Texts(David Lodge)
"Book,Author:",Sisters of the Revolution: A Feminist Speculative Fiction Anthology(Ann VanderMeer)
"Book,Author:",Hooked: Write Fiction That Grabs Readers at Page One & Never Lets Them Go(Les Edgerton)
"Book,Author:",36 Arguments for the Existence of God: A Work of Fiction(Rebecca Goldstein)
"Book,Author:",The Odd and the Strange: A Collection of Very Short Fiction(Harvey Havel)
"Book,Author:",So Long Been Dreaming: Postcolonial Science Fiction and Fantasy(Nalo Hopkinson)
"Book,Author:",The Motion of Light in Water: Sex and Science Fiction Writing in the East Village(Samuel R. Delany)
"Book,Author:",The Wandering Earth: Classic Science Fiction Collection(Liu Cixin)
"Book,Author:",The Little Disturbances of Man(Grace Paley)
"Book,Author:",Secret Windows: Essays and Fiction on the Craft of Writing(Stephen King)
"Book,Author:",The Skeptics' Guide to the Future: What Yesterday's Science and Science Fiction Tell Us About the World of Tomorrow(Steven Novella)
"Book,Author:","The Night Land by William Hope Hodgson, Science Fiction(William Hope Hodgson)"
"Book,Author:",Miniatures: The Very Short Fiction of John Scalzi(John Scalzi)
"Book,Author:","Meanwhile, Elsewhere: Science Fiction and Fantasy from Transgender Writers(Cat Fitzpatrick)"
"Book,Author:","Alone With the Horrors: The Great Short Fiction, 1961-1991(Ramsey Campbell)"
"Book,Author:",The Language of the Night: Essays on Fantasy and Science Fiction(Ursula K. Le Guin)
"Book,Author:",Master of Middle-Earth: The Fiction of J.R.R. Tolkien(Paul H. Kocher)
"Book,Author:","Stranger Than Fan Fiction (Unlucky in Love, #1)(Piper Sheldon)"
"Book,Author:",The Book of Tokyo: A City in Short Fiction(Michael Emmerich)
"Book,Author:",Political Fictions(Joan Didion)
"Book,Author:",Writing Fiction for Dummies(Randy Ingermanson)
"Book,Author:",How to Live Safely in a Science Fictional Universe(Charles Yu)
"Book,Author:",The Big Book of Science Fiction(Ann VanderMeer)
